Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
08F7 - Byte              20C3A937 : 63                 20BFD537 : 63                 
08F8 - Double            20C3A938 : 0.0049218768179889620BFD538 : 0.000971851520051745
0900 - Double            20C3A940 : 0.0011527969013509920BFD540 : 0.0000563315478762002
0908 - Double            20C3A948 : 0.0002139882705060620BFD548 : 8.96025117238502E-9
0910 - Pointer           20C3A950 : P->3F0F685A        20BFD550 : P->3649539C        
0914 - Pointer           20C3A954 : P->3EE4810A        20BFD554 : P->3649539C        
0918 - 4 Bytes           20C3A958 : 1050274425         20BFD558 : 910775196          
091C - 4 Bytes           20C3A95C : 1042601499         20BFD55C : 910775196          
0920 - 4 Bytes           20C3A960 : 0                  20BFD560 : 910775196          
0924 - 4 Bytes           20C3A964 : 0                  20BFD564 : 910775196          
0928 - 4 Bytes           20C3A968 : 0                  20BFD568 : 910775196          
092C - 4 Bytes           20C3A96C : 0                  20BFD56C : 910775196          
0930 - 4 Bytes           20C3A970 : 0                  20BFD570 : 910775196          
0934 - 4 Bytes           20C3A974 : 0                  20BFD574 : 910775196          
0938 - 4 Bytes           20C3A978 : 0                  20BFD578 : 910775196          
093C - 4 Bytes           20C3A97C : 0                  20BFD57C : 910775196          
0940 - Double            20C3A980 : 0.0027343747006671 20BFD580 : 0.0027343747006671 
0948 - Float             20C3A988 : 1                  20BFD588 : 1                  
094C - Pointer           20C3A98C : P->3D9CEAA2        20BFD58C : P->3E418CFD        
0950 - Double            20C3A990 : 15.8431396484375   20BFD590 : 0.0694444179534912 
0958 - String            20C3A998 :                    20BFD598 : ®G!@               
095C - Pointer           20C3A99C : P->3F6992F5        20BFD59C : P->40242A43        
0960 - Byte              20C3A9A0 : 174                20BFD5A0 : 174                
0961 - Byte              20C3A9A1 : 71                 20BFD5A1 : 71                 
0962 - Byte              20C3A9A2 : 97                 20BFD5A2 : 97                 
0963 - Byte              20C3A9A3 : 62                 20BFD5A3 : 62                 
0964 - 4 Bytes           20C3A9A4 : 0                  20BFD5A4 : 0                  
0968 - Float             20C3A9A8 : 10                 20BFD5A8 : 10                 
096C - 4 Bytes           20C3A9AC : 2052               20BFD5AC : 1284               
0970 - String            20C3A9B0 : DCH_EVO1           20BFD5B0 : FIA_COU            
0979 - Byte              20C3A9B9 : 0                  20BFD5B9 : 0                  
097A - Byte              20C3A9BA : 0                  20BFD5BA : 0                  
097B - Byte              20C3A9BB : 0                  20BFD5BB : 0                  
097C - Float             20C3A9BC : 12800              20BFD5BC : 12800              
0980 - Float             20C3A9C0 : 12800              20BFD5C0 : 12800              
0984 - Float             20C3A9C4 : 8500               20BFD5C4 : 7500               
0988 - Pointer           20C3A9C8 : P->439AD3D4        20BFD5C8 : P->43BDFF02        
098C - Pointer           20C3A9CC : P->3E17AE14        20BFD5CC : P->3E8B5AC9        
0990 - Pointer           20C3A9D0 : P->3E4A3D71        20BFD5D0 : P->3EB9CE6C        
0994 - Double            20C3A9D4 : 0.0000331625995530220BFD5D4 : 0.000141287134723708
099C - Double            20C3A9DC : 0.0007519532212798620BFD5DC : 0.00237146997303259
09A4 - Double            20C3A9E4 : 0.0029296879609592 20BFD5E4 : 0.00781250184744544
09AC - Byte              20C3A9EC : 29                 20BFD5EC : 202                
09AD - Byte              20C3A9ED : 34                 20BFD5ED : 25                 
09AE - 2 Bytes           20C3A9EE : 16242              20BFD5EE : 16254              
09B0 - Float             20C3A9F0 : 0.9604169726       20BFD5F0 : 0.9906449914       
09B4 - Float             20C3A9F4 : 0.9670829773       20BFD5F4 : 0.9864519835       
09B8 - Double            20C3A9F8 : 0.0069791870115417 20BFD5F8 : 0.00615925061691087
09C0 - Byte              20C3AA00 : 125                20BFD600 : 242                
09C1 - String            20C3AA01 : w?                20BFD601 : ¶n?$               
09C5 - Byte              20C3AA05 : 0                  20BFD605 : 239                
09C6 - Byte              20C3AA06 : 128                20BFD606 : 100                
09C7 - Byte              20C3AA07 : 63                 20BFD607 : 63                 
09C8 - Byte              20C3AA08 : 143                20BFD608 : 78                 
09C9 - Byte              20C3AA09 : 194                20BFD609 : 183                
09CA - Byte              20C3AA0A : 125                20BFD60A : 92                 
09CB - Byte              20C3AA0B : 63                 20BFD60B : 63                 
09CC - Byte              20C3AA0C : 78                 20BFD60C : 211                
09CD - Byte              20C3AA0D : 210                20BFD60D : 162                
09CE - Byte              20C3AA0E : 108                20BFD60E : 74                 
09CF - Byte              20C3AA0F : 63                 20BFD60F : 63                 
09D0 - Double            20C3AA10 : 0.0008712500554767620BFD610 : 0.0000495654311619518
09D8 - Double            20C3AA18 : 0.0001745370969890220BFD618 : 7.06601086961811E-9
09E0 - Pointer           20C3AA20 : P->3F0B18EC        20BFD620 : P->3649539C        
09E4 - Pointer           20C3AA24 : P->3EDDA2F9        20BFD624 : P->3649539C        
09E8 - 4 Bytes           20C3AA28 : 1049971260         20BFD628 : 910775196          
09EC - 4 Bytes           20C3AA2C : 1042276826         20BFD62C : 910775196          
09F0 - 4 Bytes           20C3AA30 : 0                  20BFD630 : 910775196          
09F4 - 4 Bytes           20C3AA34 : 0                  20BFD634 : 910775196          
09F8 - 4 Bytes           20C3AA38 : 0                  20BFD638 : 910775196          
09FC - 4 Bytes           20C3AA3C : 0                  20BFD63C : 910775196          
0A00 - 4 Bytes           20C3AA40 : 0                  20BFD640 : 910775196          
0A04 - 4 Bytes           20C3AA44 : 0                  20BFD644 : 910775196          
0A08 - 4 Bytes           20C3AA48 : 0                  20BFD648 : 910775196          
0A0C - Double            20C3AA4C : 0.0027343747006671 20BFD64C : 0.0027343747006671 
0A14 - Float             20C3AA54 : 1                  20BFD654 : 1                  
0A18 - Pointer           20C3AA58 : P->3DA1C766        20BFD658 : P->3E4686CD        
0A1C - Double            20C3AA5C : 17.7777709960938   20BFD65C : 0.121268630027771  
0A24 - Byte              20C3AA64 : 0                  20BFD664 : 30                 
0A25 - Byte              20C3AA65 : 0                  20BFD665 : 133                
0A26 - Byte              20C3AA66 : 0                  20BFD666 : 43                 
0A27 - Byte              20C3AA67 : 0                  20BFD667 : 64                 
0A28 - Pointer           20C3AA68 : P->3F6F3679        20BFD668 : P->4019CA82        
0A2C - Byte              20C3AA6C : 174                20BFD66C : 174                
0A2D - Byte              20C3AA6D : 71                 20BFD66D : 71                 
0A2E - Byte              20C3AA6E : 97                 20BFD66E : 97                 
0A2F - Byte              20C3AA6F : 62                 20BFD66F : 62                 
0A30 - 4 Bytes           20C3AA70 : 0                  20BFD670 : 0                  
0A34 - Float             20C3AA74 : 10                 20BFD674 : 10                 
0A38 - 4 Bytes           20C3AA78 : 2564               20BFD678 : 1796               
0A3C - String            20C3AA7C : DCH_EVO1           20BFD67C : FIA_COU            
0A45 - Byte              20C3AA85 : 0                  20BFD685 : 0                  
0A46 - Byte              20C3AA86 : 0                  20BFD686 : 0                  
0A47 - Byte              20C3AA87 : 0                  20BFD687 : 0                  
0A48 - Float             20C3AA88 : 12800              20BFD688 : 12800              
0A4C - Float             20C3AA8C : 12800              20BFD68C : 12800              
0A50 - Float             20C3AA90 : 8500               20BFD690 : 7500               
0A54 - Pointer           20C3AA94 : P->439F7B1B        20BFD694 : P->43C2C215        
0A58 - Pointer           20C3AA98 : P->3E17AE14        20BFD698 : P->3E8B5AC9        
0A5C - Pointer           20C3AA9C : P->3E4A3D71        20BFD69C : P->3EB9CE6C        
0A60 - Double            20C3AAA0 : 0.0000331625995530220BFD6A0 : 0.000141287134723708
0A68 - Double            20C3AAA8 : 0.0007519532212798620BFD6A8 : 0.00237146997303259
0A70 - Double            20C3AAB0 : 0.0029296879609592 20BFD6B0 : 0.00781250184744544
0A78 - Byte              20C3AAB8 : 29                 20BFD6B8 : 202                
0A79 - Byte              20C3AAB9 : 34                 20BFD6B9 : 25                 
0A7A - 2 Bytes           20C3AABA : 16242              20BFD6BA : 16254              
0A7C - Float             20C3AABC : 0.9604169726       20BFD6BC : 0.9906449914       
0A80 - Float             20C3AAC0 : 0.9670829773       20BFD6C0 : 0.9864519835       
0A84 - Double            20C3AAC4 : 0.0069791870115417 20BFD6C4 : 0.00615925061691087
0A8C - Byte              20C3AACC : 125                20BFD6CC : 242                
0A8D - String            20C3AACD : w?                20BFD6CD : ¶n?$               
0A91 - Byte              20C3AAD1 : 0                  20BFD6D1 : 239                
0A92 - Byte              20C3AAD2 : 128                20BFD6D2 : 100                
0A93 - Byte              20C3AAD3 : 63                 20BFD6D3 : 63                 
0A94 - Byte              20C3AAD4 : 143                20BFD6D4 : 78                 
0A95 - Byte              20C3AAD5 : 194                20BFD6D5 : 183                
0A96 - Byte              20C3AAD6 : 125                20BFD6D6 : 92                 
0A97 - Byte              20C3AAD7 : 63                 20BFD6D7 : 63                 
0A98 - Byte              20C3AAD8 : 78                 20BFD6D8 : 211                
0A99 - Byte              20C3AAD9 : 210                20BFD6D9 : 162                
0A9A - Byte              20C3AADA : 108                20BFD6DA : 74                 
0A9B - Byte              20C3AADB : 63                 20BFD6DB : 63                 
0A9C - Double            20C3AADC : 0.0008712500554767620BFD6DC : 0.0000495659259270695
0AA4 - Double            20C3AAE4 : 0.0001745370969890220BFD6E4 : 7.06601086961811E-9
0AAC - Pointer           20C3AAEC : P->3F0B18EC        20BFD6EC : P->3649539C        
0AB0 - Pointer           20C3AAF0 : P->3EDDA2F9        20BFD6F0 : P->3649539C        
0AB4 - 4 Bytes           20C3AAF4 : 1049971260         20BFD6F4 : 910775196          
0AB8 - 4 Bytes           20C3AAF8 : 1042276826         20BFD6F8 : 910775196          
0ABC - 4 Bytes           20C3AAFC : 0                  20BFD6FC : 910775196          
0AC0 - 4 Bytes           20C3AB00 : 0                  20BFD700 : 910775196          
0AC4 - 4 Bytes           20C3AB04 : 0                  20BFD704 : 910775196          
0AC8 - 4 Bytes           20C3AB08 : 0                  20BFD708 : 910775196          
0ACC - 4 Bytes           20C3AB0C : 0                  20BFD70C : 910775196          
0AD0 - 4 Bytes           20C3AB10 : 0                  20BFD710 : 910775196          
0AD4 - 4 Bytes           20C3AB14 : 0                  20BFD714 : 910775196          
0AD8 - Double            20C3AB18 : 0.0027343747006671 20BFD718 : 0.0027343747006671 
0AE0 - Float             20C3AB20 : 1                  20BFD720 : 1                  
0AE4 - Byte              20C3AB24 : 41                 20BFD724 : 156                
0AE5 - Byte              20C3AB25 : 164                20BFD725 : 128                
0AE6 - Byte              20C3AB26 : 166                20BFD726 : 75                 
0AE7 - Byte              20C3AB27 : 61                 20BFD727 : 62                 
0AE8 - Double            20C3AB28 : 12.2105255126953   20BFD728 : 0.0792253613471985 
0AF0 - Double            20C3AB30 : 0.0056633763015270220BFD730 : 6.98591709449887   
0AF8 - Byte              20C3AB38 : 174                20BFD738 : 174                
0AF9 - Byte              20C3AB39 : 71                 20BFD739 : 71                 
0AFA - Byte              20C3AB3A : 97                 20BFD73A : 97                 
0AFB - Byte              20C3AB3B : 62                 20BFD73B : 62                 
0AFC - 4 Bytes           20C3AB3C : 0                  20BFD73C : 0                  
0B00 - Float             20C3AB40 : 10                 20BFD740 : 10                 
0B04 - 4 Bytes           20C3AB44 : 2564               20BFD744 : 1796               
0B08 - String            20C3AB48 : DCH_EVO1           20BFD748 : FIA_COU            
0B11 - Byte              20C3AB51 : 0                  20BFD751 : 0                  
0B12 - Byte              20C3AB52 : 0                  20BFD752 : 0                  
0B13 - Byte              20C3AB53 : 0                  20BFD753 : 0                  
0B14 - Float             20C3AB54 : 12800              20BFD754 : 12800              
0B18 - Float             20C3AB58 : 12800              20BFD758 : 12800              
0B1C - Float             20C3AB5C : 8500               20BFD75C : 7500               
0B20 - Pointer           20C3AB60 : P->43A42263        20BFD760 : P->43C78529        
0B24 - Pointer           20C3AB64 : P->3E17AE14        20BFD764 : P->3E8B5AC9        
0B28 - Pointer           20C3AB68 : P->3E4A3D71        20BFD768 : P->3EB9CE6C        
0B2C - Double            20C3AB6C : 0.0000331625995530220BFD76C : 0.000141287134723708
0B34 - Double            20C3AB74 : 0.0007519532212798620BFD774 : 0.00237146997303259
0B3C - Double            20C3AB7C : 0.0029296879609592 20BFD77C : 0.00781250184744544
0B44 - Byte              20C3AB84 : 29                 20BFD784 : 202                
0B45 - Byte              20C3AB85 : 34                 20BFD785 : 25                 
0B46 - 2 Bytes           20C3AB86 : 16242              20BFD786 : 16254              
0B48 - Float             20C3AB88 : 0.9604169726       20BFD788 : 0.9906449914       
0B4C - Float             20C3AB8C : 0.9670829773       20BFD78C : 0.9864519835       
0B50 - Double            20C3AB90 : 0.0069791870115417 20BFD790 : 0.00615925061691087
0B58 - Byte              20C3AB98 : 125                20BFD798 : 242                
0B59 - String            20C3AB99 : w?                20BFD799 : ¶n?$               
0B5D - Byte              20C3AB9D : 0                  20BFD79D : 239                
0B5E - Byte              20C3AB9E : 128                20BFD79E : 100                
0B5F - Byte              20C3AB9F : 63                 20BFD79F : 63                 
0B60 - Byte              20C3ABA0 : 143                20BFD7A0 : 78                 
0B61 - Byte              20C3ABA1 : 194                20BFD7A1 : 183                
0B62 - Byte              20C3ABA2 : 125                20BFD7A2 : 92                 
0B63 - Byte              20C3ABA3 : 63                 20BFD7A3 : 63                 
0B64 - Byte              20C3ABA4 : 78                 20BFD7A4 : 211                
0B65 - Byte              20C3ABA5 : 210                20BFD7A5 : 162                
0B66 - Byte              20C3ABA6 : 108                20BFD7A6 : 74                 
0B67 - Byte              20C3ABA7 : 63                 20BFD7A7 : 63                 
0B68 - Double            20C3ABA8 : 0.0008712500554767620BFD7A8 : 0.0000495659259270695
0B70 - Double            20C3ABB0 : 0.0001745370969890220BFD7B0 : 7.06601086961811E-9
0B78 - Pointer           20C3ABB8 : P->3F0B18EC        20BFD7B8 : P->3649539C        
0B7C - Pointer           20C3ABBC : P->3EDDA2F9        20BFD7BC : P->3649539C        
0B80 - 4 Bytes           20C3ABC0 : 1049971260         20BFD7C0 : 910775196          
0B84 - 4 Bytes           20C3ABC4 : 1042276826         20BFD7C4 : 910775196          
0B88 - 4 Bytes           20C3ABC8 : 0                  20BFD7C8 : 910775196          
0B8C - 4 Bytes           20C3ABCC : 0                  20BFD7CC : 910775196          
0B90 - 4 Bytes           20C3ABD0 : 0                  20BFD7D0 : 910775196          
0B94 - 4 Bytes           20C3ABD4 : 0                  20BFD7D4 : 910775196          
0B98 - 4 Bytes           20C3ABD8 : 0                  20BFD7D8 : 910775196          
0B9C - 4 Bytes           20C3ABDC : 0                  20BFD7DC : 910775196          
0BA0 - 4 Bytes           20C3ABE0 : 0                  20BFD7E0 : 910775196          
0BA4 - Double            20C3ABE4 : 0.0027343747006671 20BFD7E4 : 0.0027343747006671 
0BAC - Float             20C3ABEC : 1                  20BFD7EC : 1                  
0BB0 - Pointer           20C3ABF0 : P->3DAB80ED        20BFD7F0 : P->3E507A6C        
0BB4 - Double            20C3ABF4 : 8                  20BFD7F4 : 0.0520833432674408 
0BBC - Float             20C3ABFC : 0                  20BFD7FC : 3                  
0BC0 - Pointer           20C3AC00 : P->3F7E6217        20BFD800 : P->401DDDDE        
0BC4 - Byte              20C3AC04 : 174                20BFD804 : 174                
0BC5 - Byte              20C3AC05 : 71                 20BFD805 : 71                 
0BC6 - Byte              20C3AC06 : 97                 20BFD806 : 97                 
0BC7 - Byte              20C3AC07 : 62                 20BFD807 : 62                 
0BC8 - 4 Bytes           20C3AC08 : 0                  20BFD808 : 0                  
0BCC - Float             20C3AC0C : 10                 20BFD80C : 10                 
0BD0 - 4 Bytes           20C3AC10 : 2564               20BFD810 : 1796               
0BD4 - String            20C3AC14 : DCH_EVO1           20BFD814 : FIA_COU            
0BDD - Byte              20C3AC1D : 211                20BFD81D : 211                
0BDE - 2 Bytes           20C3AC1E : 18370              20BFD81E : 18370              
0BE0 - Float             20C3AC20 : 10000              20BFD820 : 10000              
0BE4 - Pointer           20C3AC24 : P->3DCCCCCD        20BFD824 : P->3DCCCCCD        
0BE8 - 4 Bytes           20C3AC28 : 0                  20BFD828 : 0                  
0BEC - Float             20C3AC2C : 70000              20BFD82C : 70000              
0BF0 - Float             20C3AC30 : 10000              20BFD830 : 10000              
0BF4 - Pointer           20C3AC34 : P->3DCCCCCD        20BFD834 : P->3DCCCCCD        
0BF8 - 4 Bytes           20C3AC38 : 0                  20BFD838 : 0                  
0BFC - 4 Bytes           20C3AC3C : 0                  20BFD83C : 0                  
0C00 - Pointer           20C3AC40 : P->3EA1A36F        20BFD840 : P->3E9BE0DF        
0C04 - Pointer           20C3AC44 : P->3E666666        20BFD844 : P->3E666666        
0C08 - Float             20C3AC48 : 26.5               20BFD848 : 25.5               
0C0C - Float             20C3AC4C : 1                  20BFD84C : 1                  
0C10 - Double            20C3AC50 : 0.0102812516939593 20BFD850 : 0.0096250045549823 
0C18 - Double            20C3AC58 : 0.0250000096578005 20BFD858 : 0.025000009657495  
0C20 - Float             20C3AC60 : 6012               20BFD860 : 5510               
0C24 - Float             20C3AC64 : 16                 20BFD864 : 16                 
0C28 - Float             20C3AC68 : 0.5                20BFD868 : 0.4499999881       
0C2C - Float             20C3AC6C : 7.5                20BFD86C : 7.5                
0C30 - String            20C3AC70 : DCH_EVO1           20BFD870 : FIA_COU            
0C39 - Byte              20C3AC79 : 211                20BFD879 : 211                
0C3A - 2 Bytes           20C3AC7A : 18370              20BFD87A : 18370              
0C3C - Float             20C3AC7C : 10000              20BFD87C : 10000              
0C40 - Pointer           20C3AC80 : P->3DCCCCCD        20BFD880 : P->3DCCCCCD        
0C44 - 4 Bytes           20C3AC84 : 0                  20BFD884 : 0                  
0C48 - Float             20C3AC88 : 70000              20BFD888 : 70000              
0C4C - Float             20C3AC8C : 10000              20BFD88C : 10000              
0C50 - Pointer           20C3AC90 : P->3DCCCCCD        20BFD890 : P->3DCCCCCD        
0C54 - 4 Bytes           20C3AC94 : 0                  20BFD894 : 0                  
0C58 - 4 Bytes           20C3AC98 : 0                  20BFD898 : 0                  
0C5C - Pointer           20C3AC9C : P->3EA1A36F        20BFD89C : P->3E9BE0DF        
0C60 - Pointer           20C3ACA0 : P->3E666666        20BFD8A0 : P->3E666666        
0C64 - Float             20C3ACA4 : 26.5               20BFD8A4 : 25.5               
0C68 - Float             20C3ACA8 : 1                  20BFD8A8 : 1                  
0C6C - Double            20C3ACAC : 0.012230316127534  20BFD8AC : 0.0115543771040393 
0C74 - Double            20C3ACB4 : 0.0250000096587082 20BFD8B4 : 0.0250000096583934 
0C7C - Float             20C3ACBC : 6012               20BFD8BC : 5510               
0C80 - Float             20C3ACC0 : 16                 20BFD8C0 : 16                 
0C84 - Float             20C3ACC4 : 0.5                20BFD8C4 : 0.4499999881       
0C88 - Float             20C3ACC8 : 7.5                20BFD8C8 : 7.5                
0C8C - String            20C3ACCC : DCH_EVO1           20BFD8CC : FIA_COU            
0C95 - Byte              20C3ACD5 : 211                20BFD8D5 : 211                
0C96 - 2 Bytes           20C3ACD6 : 18370              20BFD8D6 : 18370              
0C98 - Float             20C3ACD8 : 10000              20BFD8D8 : 10000              
0C9C - Pointer           20C3ACDC : P->3DCCCCCD        20BFD8DC : P->3DCCCCCD        
0CA0 - 4 Bytes           20C3ACE0 : 0                  20BFD8E0 : 0                  
0CA4 - Float             20C3ACE4 : 70000              20BFD8E4 : 70000              
0CA8 - Float             20C3ACE8 : 10000              20BFD8E8 : 10000              
0CAC - Pointer           20C3ACEC : P->3DCCCCCD        20BFD8EC : P->3DCCCCCD        
0CB0 - 4 Bytes           20C3ACF0 : 0                  20BFD8F0 : 0                  
0CB4 - 4 Bytes           20C3ACF4 : 0                  20BFD8F4 : 0                  
0CB8 - Pointer           20C3ACF8 : P->3EA1A36F        20BFD8F8 : P->3E9BE0DF        
0CBC - Pointer           20C3ACFC : P->3E666666        20BFD8FC : P->3E666666        
0CC0 - Float             20C3AD00 : 26.5               20BFD900 : 25.5               
0CC4 - Float             20C3AD04 : 1                  20BFD904 : 1                  
0CC8 - Double            20C3AD08 : 0.0141793731105281 20BFD908 : 0.0134837496530963 
0CD0 - Double            20C3AD10 : 0.0250000096596158 20BFD910 : 0.0250000096592918 
0CD8 - Float             20C3AD18 : 6012               20BFD918 : 5510               
0CDC - Float             20C3AD1C : 16                 20BFD91C : 16                 
0CE0 - Float             20C3AD20 : 0.5                20BFD920 : 0.4499999881       
0CE4 - Float             20C3AD24 : 7.5                20BFD924 : 7.5                
0CE8 - String            20C3AD28 : DCH_EVO1           20BFD928 : FIA_COU            
0CF1 - Byte              20C3AD31 : 211                20BFD931 : 211                
0CF2 - 2 Bytes           20C3AD32 : 18370              20BFD932 : 18370              
0CF4 - Float             20C3AD34 : 10000              20BFD934 : 10000              
0CF8 - Pointer           20C3AD38 : P->3DCCCCCD        20BFD938 : P->3DCCCCCD        
0CFC - 4 Bytes           20C3AD3C : 0                  20BFD93C : 0                  
0D00 - Float             20C3AD40 : 70000              20BFD940 : 70000              
0D04 - Float             20C3AD44 : 10000              20BFD944 : 10000              
0D08 - Pointer           20C3AD48 : P->3DCCCCCD        20BFD948 : P->3DCCCCCD        
0D0C - 4 Bytes           20C3AD4C : 0                  20BFD94C : 0                  
0D10 - 4 Bytes           20C3AD50 : 0                  20BFD950 : 0                  
0D14 - Pointer           20C3AD54 : P->3EA1A36F        20BFD954 : P->3E9BE0DF        
0D18 - Pointer           20C3AD58 : P->3E666666        20BFD958 : P->3E666666        
0D1C - Float             20C3AD5C : 26.5               20BFD95C : 25.5               
0D20 - Float             20C3AD60 : 1                  20BFD960 : 1                  
0D24 - Double            20C3AD64 : 0.0166318750882056 20BFD964 : 0.0154131296527339 
0D2C - Double            20C3AD6C : 0.0250000096605234 20BFD96C : 0.0250000096601903 
0D34 - Float             20C3AD74 : 6012               20BFD974 : 5510               
0D38 - Float             20C3AD78 : 16                 20BFD978 : 16                 
0D3C - Float             20C3AD7C : 0.5                20BFD97C : 0.4499999881       
0D40 - Float             20C3AD80 : 7.5                20BFD980 : 7.5                
0D44 - String            20C3AD84 : DCH_EVO1           20BFD984 : FIA_COU            
0D4D - Byte              20C3AD8D : 211                20BFD98D : 211                
0D4E - 2 Bytes           20C3AD8E : 18370              20BFD98E : 18370              
0D50 - Float             20C3AD90 : 10000              20BFD990 : 10000              
0D54 - Pointer           20C3AD94 : P->3DCCCCCD        20BFD994 : P->3DCCCCCD        
0D58 - 4 Bytes           20C3AD98 : 0                  20BFD998 : 0                  
0D5C - Float             20C3AD9C : 70000              20BFD99C : 70000              
0D60 - Float             20C3ADA0 : 10000              20BFD9A0 : 10000              
0D64 - Pointer           20C3ADA4 : P->3DCCCCCD        20BFD9A4 : P->3DCCCCCD        
0D68 - 4 Bytes           20C3ADA8 : 0                  20BFD9A8 : 0                  
0D6C - 4 Bytes           20C3ADAC : 0                  20BFD9AC : 0                  
0D70 - Pointer           20C3ADB0 : P->3EA1A36F        20BFD9B0 : P->3E9BE0DF        
0D74 - Pointer           20C3ADB4 : P->3E666666        20BFD9B4 : P->3E666666        
0D78 - Float             20C3ADB8 : 26.5               20BFD9B8 : 25.5               
0D7C - Float             20C3ADBC : 1                  20BFD9BC : 1                  
0D80 - Double            20C3ADC0 : 0.0205300039553549 20BFD9C0 : 0.0190600044035818 
0D88 - Double            20C3ADC8 : 0.025000009661431  20BFD9C8 : 0.0250000096610887 
0D90 - Float             20C3ADD0 : 6012               20BFD9D0 : 5510               
0D94 - Float             20C3ADD4 : 16                 20BFD9D4 : 16                 
0D98 - Float             20C3ADD8 : 0.5                20BFD9D8 : 0.4499999881       
0D9C - Float             20C3ADDC : 7.5                20BFD9DC : 7.5                
0DA0 - String            20C3ADE0 : DCH_EVO1           20BFD9E0 : FIA_COU            
0DA9 - Byte              20C3ADE9 : 211                20BFD9E9 : 211                
0DAA - 2 Bytes           20C3ADEA : 18370              20BFD9EA : 18370              
0DAC - Float             20C3ADEC : 10000              20BFD9EC : 10000              
0DB0 - Pointer           20C3ADF0 : P->3DCCCCCD        20BFD9F0 : P->3DCCCCCD        
0DB4 - 4 Bytes           20C3ADF4 : 0                  20BFD9F4 : 0                  
0DB8 - Float             20C3ADF8 : 70000              20BFD9F8 : 70000              
0DBC - Float             20C3ADFC : 10000              20BFD9FC : 10000              
0DC0 - Pointer           20C3AE00 : P->3DCCCCCD        20BFDA00 : P->3DCCCCCD        
0DC4 - 4 Bytes           20C3AE04 : 0                  20BFDA04 : 0                  
0DC8 - 4 Bytes           20C3AE08 : 0                  20BFDA08 : 0                  
0DCC - Pointer           20C3AE0C : P->3EA1A36F        20BFDA0C : P->3E9BE0DF        
0DD0 - Pointer           20C3AE10 : P->3E666666        20BFDA10 : P->3E666666        
0DD4 - Float             20C3AE14 : 26.5               20BFDA14 : 25.5               
0DD8 - Float             20C3AE18 : 1                  20BFDA18 : 1                  
0DDC - Double            20C3AE1C : 0.0244281328225043 20BFDA1C : 0.0229187495016959 
0DE4 - Double            20C3AE24 : 0.0250000096623386 20BFDA24 : 0.0250000096619871 
0DEC - Float             20C3AE2C : 6012               20BFDA2C : 5510               
0DF0 - Float             20C3AE30 : 16                 20BFDA30 : 16                 
0DF4 - Float             20C3AE34 : 0.5                20BFDA34 : 0.4499999881       
0DF8 - Float             20C3AE38 : 7.5                20BFDA38 : 7.5                
0DFC - String            20C3AE3C : DCH_EVO1           20BFDA3C : FIA_COU            
0E05 - Byte              20C3AE45 : 211                20BFDA45 : 211                
0E06 - 2 Bytes           20C3AE46 : 18370              20BFDA46 : 18370              
0E08 - Float             20C3AE48 : 10000              20BFDA48 : 10000              
0E0C - Pointer           20C3AE4C : P->3DCCCCCD        20BFDA4C : P->3DCCCCCD        
0E10 - 4 Bytes           20C3AE50 : 0                  20BFDA50 : 0                  
0E14 - Float             20C3AE54 : 70000              20BFDA54 : 70000              
0E18 - Float             20C3AE58 : 10000              20BFDA58 : 10000              
0E1C - Pointer           20C3AE5C : P->3DCCCCCD        20BFDA5C : P->3DCCCCCD        
0E20 - 4 Bytes           20C3AE60 : 0                  20BFDA60 : 0                  
0E24 - 4 Bytes           20C3AE64 : 0                  20BFDA64 : 0                  
0E28 - Pointer           20C3AE68 : P->3EA1A36F        20BFDA68 : P->3E9BE0DF        
0E2C - Pointer           20C3AE6C : P->3E666666        20BFDA6C : P->3E666666        
0E30 - Float             20C3AE70 : 26.5               20BFDA70 : 25.5               
0E34 - Float             20C3AE74 : 1                  20BFDA74 : 1                  
0E38 - Double            20C3AE78 : 0.0179312563443091 20BFDA78 : 0.0164874977373984 
0E40 - Double            20C3AE80 : 0.0250000096608259 20BFDA80 : 0.0250000096604897 
0E48 - Float             20C3AE88 : 6012               20BFDA88 : 5510               
0E4C - Float             20C3AE8C : 16                 20BFDA8C : 16                 
0E50 - Float             20C3AE90 : 0.5                20BFDA90 : 0.4499999881       
0E54 - Float             20C3AE94 : 7.5                20BFDA94 : 7.5                
0E58 - String            20C3AE98 : DCH_EVO1           20BFDA98 : FIA_COU            
0E61 - Byte              20C3AEA1 : 211                20BFDAA1 : 211                
0E62 - 2 Bytes           20C3AEA2 : 18370              20BFDAA2 : 18370              
0E64 - Float             20C3AEA4 : 10000              20BFDAA4 : 10000              
0E68 - Pointer           20C3AEA8 : P->3DCCCCCD        20BFDAA8 : P->3DCCCCCD        
0E6C - 4 Bytes           20C3AEAC : 0                  20BFDAAC : 0                  
0E70 - Float             20C3AEB0 : 70000              20BFDAB0 : 70000              
0E74 - Float             20C3AEB4 : 10000              20BFDAB4 : 10000              
0E78 - Pointer           20C3AEB8 : P->3DCCCCCD        20BFDAB8 : P->3DCCCCCD        
0E7C - 4 Bytes           20C3AEBC : 0                  20BFDABC : 0                  
0E80 - 4 Bytes           20C3AEC0 : 0                  20BFDAC0 : 0                  
0E84 - Pointer           20C3AEC4 : P->3EA1A36F        20BFDAC4 : P->3E9BE0DF        
